"game_id","date","home_team_id","away_team_id","home_points","away_points","home_possessions","away_possessions","home_team_abbreviation","away_team_abbreviation","_dlt_load_id","_dlt_id"
"0022400061","2024-10-22","1610612738","1610612752",132,109,90,90,"BOS","NYK","1747943587.1907682","2pXdPRMqLK9b0g"
"0022400062","2024-10-22","1610612747","1610612750",110,103,95,94,"LAL","MIN","1747943587.1907682","y8GsKtc+TVDjMQ"
"0022400064","2024-10-23","1610612737","1610612751",120,116,103,103,"ATL","BKN","1747943587.1907682","1D+QXgKuJmKsgw"
"0022400065","2024-10-23","1610612748","1610612753",97,116,96,98,"MIA","ORL","1747943587.1907682","KHKg3vTub4SnzQ"
"0022400066","2024-10-23","1610612755","1610612749",109,124,100,98,"PHI","MIL","1747943587.1907682","nMclPqH60l2P4g"
"0022400067","2024-10-23","1610612761","1610612739",106,136,100,101,"TOR","CLE","1747943587.1907682","XagU+aMh5VHGdQ"
"0022400068","2024-10-23","1610612745","1610612766",105,110,96,95,"HOU","CHA","1747943587.1907682","/VOuNu0vjZKueg"
"0022400069","2024-10-23","1610612740","1610612741",123,111,107,107,"NOP","CHI","1747943587.1907682","E+VQVXryymALQA"
"0022400070","2024-10-23","1610612762","1610612763",124,126,104,104,"UTA","MEM","1747943587.1907682","hPjcI5W4CO/Fkg"
"0022400071","2024-10-23","1610612746","1610612756",113,116,113,112,"LAC","PHX","1747943587.1907682","oShTXE7oAeXYWQ"
"0022400063","2024-10-23","1610612765","1610612754",109,115,99,98,"DET","IND","1747943587.1907682","SfN3MH3P04G1Ng"
"0022400072","2024-10-23","1610612757","1610612744",104,139,108,109,"POR","GSW","1747943587.1907682","znWfQR/K9lJJnw"
"0022400073","2024-10-24","1610612764","1610612738",102,122,103,103,"WAS","BOS","1747943587.1907682","v7q2MKeicp9HHw"
"0022400074","2024-10-24","1610612742","1610612759",120,109,104,103,"DAL","SAS","1747943587.1907682","fif05+vwvurNAQ"
"0022400075","2024-10-24","1610612743","1610612760",87,102,97,98,"DEN","OKC","1747943587.1907682","HDr0koGgJR7h0Q"
"0022400076","2024-10-24","1610612758","1610612750",115,117,99,101,"SAC","MIN","1747943587.1907682","EeuNazA5EcoG7g"
"0022400077","2024-10-25","1610612753","1610612751",116,101,97,97,"ORL","BKN","1747943587.1907682","XTpEKVgjJf3yfg"
"0022400078","2024-10-25","1610612761","1610612755",115,107,101,102,"TOR","PHI","1747943587.1907682","0ffd/jgKigy0xA"
"0022400079","2024-10-25","1610612737","1610612766",125,120,103,103,"ATL","CHA","1747943587.1907682","BNL3Xv/NR9yldQ"
"0022400080","2024-10-25","1610612739","1610612765",113,101,99,98,"CLE","DET","1747943587.1907682","2LEOlKDB9cCXpw"
"0022400081","2024-10-25","1610612752","1610612754",123,98,96,95,"NYK","IND","1747943587.1907682","EtljJMYGoN22xg"
"0022400083","2024-10-25","1610612749","1610612741",122,133,107,106,"MIL","CHI","1747943587.1907682","WczTAz2B9eVPig"
"0022400085","2024-10-25","1610612747","1610612756",123,116,101,100,"LAL","PHX","1747943587.1907682","g2VFfLlF0v+ruQ"
"0022400086","2024-10-25","1610612757","1610612740",103,105,101,101,"POR","NOP","1747943587.1907682","FVNq18oTTANgzw"
"0022400082","2024-10-25","1610612745","1610612763",128,108,107,108,"HOU","MEM","1747943587.1907682","zbDhC6p8QP6tmA"
"0022400084","2024-10-25","1610612762","1610612744",86,127,102,102,"UTA","GSW","1747943587.1907682","5+6abSRriKQlWA"
"0022400087","2024-10-26","1610612743","1610612746",104,109,95,94,"DEN","LAC","1747943587.1907682","Tr73f4RiduSIoQ"
"0022400088","2024-10-26","1610612766","1610612748",106,114,97,97,"CHA","MIA","1747943587.1907682","hhPivOqQ+wX6xg"
"0022400089","2024-10-26","1610612765","1610612738",118,124,96,97,"DET","BOS","1747943587.1907682","uLkoxRjtUvRtiw"
"0022400090","2024-10-26","1610612764","1610612739",116,135,104,105,"WAS","CLE","1747943587.1907682","+1h/l4lrV1Wvew"
"0022400091","2024-10-26","1610612741","1610612760",95,114,113,115,"CHI","OKC","1747943587.1907682","K4QqSambq5G49A"
"0022400092","2024-10-26","1610612763","1610612753",124,111,103,102,"MEM","ORL","1747943587.1907682","nro5r7MgnqMHDA"
"0022400093","2024-10-26","1610612750","1610612761",112,101,100,99,"MIN","TOR","1747943587.1907682","+9WYeigFJw/d1g"
"0022400094","2024-10-26","1610612759","1610612745",109,106,94,95,"SAS","HOU","1747943587.1907682","lckog9Fpzam4Cw"
"0022400096","2024-10-26","1610612747","1610612758",131,127,106,106,"LAL","SAC","1747943587.1907682","PG7tB3Ze3E5OrA"
